Density ,GSA ,VSA ,VF ,PV ,LCD ,PLD ,UG at PS ,UV at PS 
1.25,1758.98,2193.79,0.68,0.55,6.65,4.71,2.09,27.19
0.8,2963.57,2374.23,0.76,0.95,9.09,8.51,3.14,27.18
0.74,2978.97,2204.77,0.75,1.02,8.08,7.12,3.37,27.18
0.54,4008.79,2154.67,0.78,1.45,12.37,9.88,4.43,27.17
0.55,4568.05,2492.38,0.79,1.45,8.84,8.41,4.39,27.17
0.57,3660.28,2101.34,0.79,1.38,20.09,6.77,4.15,27.17
0.54,4008.79,2154.67,0.78,1.45,12.37,9.88,4.42,27.15
2.4,731.82,1754.73,0.65,0.27,6.96,5.93,1.11,27.15
0.38,2915.5,1118.9,0.78,2.11,28.22,27.56,6.28,27.14
0.76,3014.89,2281.37,0.75,1,8.05,7.18,3.29,27.14
0.74,2953.1,2196.2,0.82,1.04,14.28,6.83,3.29,27.12
0.54,4147.67,2253.85,0.78,1.44,13.61,6.5,4.36,27.11
0.77,2957.23,2280.66,0.77,1,9.67,6.45,3.21,27.11
0.47,7531.86,3525.82,0.81,1.73,7.47,6.53,4.91,27.09
0.65,3125.7,2034.4,0.82,1.2,14.07,9.53,3.71,27.08
0.53,2761.43,1452.92,0.77,1.47,15.45,15.18,4.57,27.08
0.54,3913.05,2158.73,0.74,1.38,12.37,9.88,4.41,27.07
0.52,3260.9,1708.73,0.77,1.48,12.09,10.74,4.54,27.06
0.56,3884.8,2173.3,0.83,1.4,15.56,9.01,4.24,27.05
0.58,3089.9,1791.6,0.77,1.31,11.08,9.01,4.14,27.05
0.54,3863.77,2080.76,0.78,1.44,13.19,11.42,4.4,27.05
0.76,2950.27,2254.7,0.75,0.98,8.03,7.14,3.25,27.05
0.49,4284.22,2136.24,0.75,1.52,15.07,13.14,4.79,27.04
0.8,3437.75,2747.61,0.75,0.93,8.27,5.33,3.11,27.02
0.42,2227.41,931.18,0.97,2.31,19,18.93,6.02,27.02
0.51,3485.7,1785.38,0.78,1.51,12.15,10.92,4.62,27.01
0.51,4298.8,2201.64,0.78,1.53,9.83,7.41,4.54,26.99
0.56,3369.01,1896.08,0.77,1.37,10.66,8.88,4.21,26.99
0.58,5029.9,2895.9,0.85,1.37,8.56,6.7,4.08,26.98
0.75,2948.8,2206.6,0.82,1.04,14.1,6.86,3.23,26.98
0.54,3863.77,2080.76,0.78,1.44,13.19,11.42,4.38,26.96
0.58,3248.48,1896.05,0.76,1.3,12.61,8.72,4.14,26.96
0.76,1335.61,1016.76,0.65,0.86,5.26,3.96,3.28,26.96
0.54,3790.69,2075.83,0.81,1.51,13.19,11.42,4.38,26.96
1.36,1586.5,2156.8,0.75,0.54,9.31,7.04,1.88,26.94
0.76,2973.86,2269.74,0.75,0.99,8.13,7.22,3.23,26.94
0.56,3526.49,1987.7,0.78,1.38,13.8,7.99,4.21,26.94
0.57,3726.08,2147.06,0.76,1.34,13.86,6.77,4.12,26.93
0.57,2059.74,1171.89,0.76,1.34,19.11,13.86,4.28,26.92
0.54,4256.83,2282.18,0.76,1.41,9.69,7.25,4.42,26.9
0.72,1830.34,1324.23,0.95,1.32,13.1,12.55,3.57,26.89
2.66,611.01,1626.5,0.69,0.26,8.98,7.37,0.99,26.89
1.65,767.7,1270.3,0.58,0.39,12.78,12.02,1.56,26.87
0.78,2713.14,2108.4,0.75,0.96,8.03,7.12,3.18,26.87
1,2218,2228.99,0.74,0.74,7.4,6.16,2.53,26.87
0.49,3445.39,1674.89,0.77,1.58,12.31,9.87,4.81,26.86
0.79,2754.02,2181.02,0.74,0.94,8.16,7.23,3.12,26.84
0.86,2532.42,2184.71,0.74,0.86,7.47,6.19,2.92,26.84
0.57,3142.77,1799.31,0.77,1.34,10.81,9.02,4.16,26.84
0.47,6829.14,3242.63,0.79,1.66,7.04,5.85,4.79,26.84
0.55,4310.26,2364.11,0.77,1.4,12.12,9.13,4.32,26.83
0.78,2796.61,2194.05,0.74,0.95,8.14,7.23,3.15,26.83
0.79,2753.46,2165.61,0.74,0.95,8.16,7.23,3.14,26.83
0.52,5312.13,2743.76,0.8,1.54,8.54,6.27,4.49,26.82
0.77,2474.06,1897.38,0.74,0.96,9.02,8.37,3.21,26.8
0.77,2853.46,2207.63,0.75,0.97,8.15,7.23,3.18,26.79
